ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
626.419,40.25,413.48,1.957,1.016,24.852,25.812,54.63,-39.29,-1810.11,-1164.46,29.04,76.73,0.03,1.55,27.06,56.19,62.39,58.84,84.42,-0.037
626.439,40.25,413.56,1.879,1.019,24.862,25.811,54.56,-46.56,-1768.76,-1155.65,29.38,73.38,0.04,1.53,27.38,56.12,62.29,58.84,84.44,-0.037
626.459,40.24,413.56,1.799,1.022,24.875,25.801,54.50,-61.35,-1729.43,-1150.70,28.47,69.65,0.05,1.50,27.30,56.02,62.18,58.86,84.43,-0.036
626.479,40.21,413.44,1.722,1.022,24.884,25.794,54.50,-66.44,-1683.94,-1144.70,26.38,69.47,0.06,1.47,27.24,55.90,62.06,58.85,84.43,-0.035
626.499,40.22,413.44,1.643,1.022,24.892,25.798,54.43,-73.07,-1622.37,-1145.15,27.29,67.92,0.06,1.42,27.22,55.80,61.95,58.89,84.44,-0.035
626.519,40.22,413.48,1.556,1.024,24.902,25.800,54.36,-74.37,-1560.61,-1159.69,28.19,65.53,0.06,1.35,27.24,55.72,61.84,58.92,84.42,-0.035
626.539,40.21,413.32,1.470,1.019,24.917,25.804,54.43,-53.01,-1517.04,-1170.84,23.25,67.68,0.05,1.30,26.98,55.58,61.71,58.97,84.46,-0.034
626.559,40.18,413.28,1.382,1.024,24.927,25.784,54.43,-39.00,-1470.73,-1177.31,21.25,68.81,0.03,1.25,27.22,55.52,61.62,59.01,84.42,-0.033
626.579,40.15,413.01,1.299,1.019,24.940,25.787,54.36,-42.77,-1423.40,-1159.25,16.52,66.29,0.04,1.23,27.20,55.39,61.46,59.07,84.45,-0.033
626.599,40.12,412.66,1.214,1.021,24.953,25.792,54.29,-50.05,-1354.92,-1154.70,20.98,63.74,0.04,1.17,27.22,55.29,61.32,59.11,84.42,-0.033
626.619,40.13,412.31,1.134,1.022,24.965,25.820,54.23,-64.64,-1289.45,-1142.65,19.30,60.89,0.06,1.13,27.22,55.17,61.16,59.15,84.44,-0.033
626.639,40.12,412.15,1.052,1.019,24.979,25.825,54.09,-72.84,-1227.10,-1148.11,19.81,58.89,0.06,1.07,27.22,55.05,61.06,59.18,84.44,-0.033
626.659,40.12,412.07,0.973,1.019,24.989,25.831,53.96,-65.69,-1166.26,-1153.89,17.49,58.26,0.06,1.01,27.26,54.95,60.91,59.24,84.42,-0.033
626.679,40.13,411.99,0.890,1.021,24.999,25.842,54.09,-51.03,-1107.66,-1154.95,12.71,57.99,0.04,0.96,27.22,54.79,60.76,59.27,84.45,-0.033
626.699,40.15,411.76,0.804,1.022,25.008,25.866,54.16,-51.65,-1037.84,-1155.92,13.00,53.96,0.04,0.90,27.24,54.70,60.64,59.34,84.41,-0.033
626.719,40.15,411.45,0.720,1.025,25.019,25.886,54.02,-60.18,-970.53,-1134.90,8.88,48.90,0.05,0.86,27.20,54.54,60.48,59.37,84.45,-0.034
626.739,40.13,411.17,0.643,1.025,25.027,25.892,54.09,-64.21,-894.39,-1134.80,12.60,46.81,0.06,0.79,27.16,54.41,60.34,59.43,84.42,-0.033
626.759,40.10,410.74,0.555,1.021,25.032,25.902,54.09,-68.90,-829.83,-1115.52,6.64,45.63,0.06,0.74,27.20,54.28,60.23,59.43,84.44,-0.034
626.779,40.10,410.55,0.473,1.021,25.038,25.911,53.96,-82.15,-753.05,-1116.09,7.51,42.17,0.07,0.67,27.14,54.16,60.06,59.49,84.43,-0.034
626.799,40.10,410.51,0.390,1.021,25.044,25.914,53.96,-75.39,-672.64,-1129.67,9.01,41.17,0.07,0.60,27.28,54.03,59.95,59.49,84.43,-0.034
626.819,40.10,410.59,0.321,1.021,25.052,25.912,54.02,-57.73,-600.87,-1132.41,4.73,41.51,0.05,0.53,27.32,53.88,59.79,59.50,84.44,-0.033
626.839,40.09,410.51,0.251,1.022,25.059,25.911,53.96,-56.36,-526.23,-1135.05,3.41,37.88,0.05,0.46,27.22,53.75,59.65,59.47,84.42,-0.033
626.859,40.09,410.39,0.181,1.019,25.062,25.916,54.09,-55.09,-462.27,-1122.03,-1.45,33.46,0.05,0.41,27.22,53.62,59.52,59.46,84.46,-0.033
626.879,40.08,410.24,0.106,1.022,25.065,25.920,53.96,-58.13,-389.91,-1109.65,-1.66,28.37,0.05,0.35,27.22,53.49,59.39,59.42,84.41,-0.033
626.899,40.06,410.16,0.023,1.019,25.070,25.913,54.02,-85.99,-317.89,-1109.87,0.41,18.71,0.08,0.29,27.16,53.39,59.28,59.39,84.45,-0.033
626.919,40.05,410.16,-0.056,1.025,25.072,25.910,53.96,-106.15,-242.62,-1104.67,0.57,12.45,0.10,0.22,27.26,53.31,59.19,59.36,84.43,-0.032
626.939,40.05,410.35,-0.129,1.024,25.074,25.897,54.02,-95.86,-171.52,-1103.79,-1.88,13.23,0.09,0.16,27.30,53.18,59.02,59.26,84.44,-0.032
626.959,40.07,410.51,-0.217,1.024,25.074,25.896,53.89,-71.87,-102.34,-1114.73,-3.79,15.63,0.06,0.09,27.38,53.06,58.89,59.26,84.45,-0.032
626.979,40.09,410.74,-0.296,1.022,25.077,25.896,53.82,-61.71,-34.65,-1118.75,-6.96,13.89,0.06,0.03,27.22,52.95,58.80,59.17,84.43,-0.032
626.999,40.12,410.86,-0.372,1.028,25.075,25.910,53.89,-57.99,42.51,-1110.18,-9.76,9.58,0.05,-0.04,27.20,52.83,58.67,59.05,84.45,-0.032
627.019,40.13,411.02,-0.454,1.024,25.078,25.903,53.82,-59.27,126.67,-1097.72,-9.34,3.59,0.05,-0.12,27.16,52.77,58.58,59.02,84.41,-0.032
627.039,40.13,410.98,-0.528,1.025,25.080,25.908,53.69,-84.66,206.09,-1089.47,-8.63,-5.69,0.08,-0.19,27.12,52.68,58.45,58.91,84.46,-0.032
627.059,40.14,410.94,-0.607,1.021,25.085,25.916,53.69,-96.61,275.18,-1086.25,-9.91,-10.55,0.09,-0.25,27.12,52.60,58.34,58.82,84.42,-0.032
